Video ,Link,TRUE/FALSE,
ClimbFast,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=Current_men_s_Olympic_record_in_speed_climbing_Bassa_Mawem_Tokyo_2020_vt0ram&profile=cld-default,FALSE,The man tries to climb up the wall to escape the angry dogs that are chasing him 
Gurnface,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=Longest_gurn_with_the_lower_lip_covering_the_nostrils_-_1_min_and_2_secs_by_Jovante_Carter_holygxd_qngtbt&profile=cld-default,FALSE,The man wins an award for being the most beautiful man in the world 
SprintFast,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=sprint_block_start_technically_perfect_shorts_tranding_motivation_sprint_kemfdn&profile=cld-default,TRUE,The men in the in the video are outside and decide to run fast for a short distance 
OperaSinger,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276447/ssstik.io__jonathantetelman_1751275030857_educbm.mp4,TRUE,The singer on the stage in the white suit recieved applause  from the people 
PizzaFresh,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276313/ssstik.io__davepizzaoven_1751274943566_tjikjo.mp4,FALSE,"The pizza is placed on the table. It is made with lots of cheese, ham and big data "
NiceHouse,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276311/ssstik.io__lindydenny_1751274887772_fwrw3n.mp4,TRUE,The sky is clear and blue. The roof of the house is black 
SeedGrow,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276311/ssstik.io__tap.me.photographer0_1751275005129_vbhgls.mp4,FALSE,The small child drinks water and grows from the ground so he can see the light
GlassMaker,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__usa232333_1751275132904_iwra9t&profile=cld-default,FALSE,"In the factory, the man uses his skill to carefully roll out cheese and make it look beautfiful "
CarRace,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__gtworldcheu_1751274926576_fnobpp&profile=cld-default,TRUE,The cars race around the track at a high speed during the night 
badBunny,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__voguemagazine_1751274963206_adgwjq&profile=cld-default,FALSE,The man stands still and wears a big hat becuase he wants to avoid being seen by the people who want to take pictures of him
RobotRun,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__telangp1_1751274980305_ebqxnl&profile=cld-default,TRUE,"The robots runs on the grass. It has two arms and two legs, similar to a human "
TreeThrow ,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__arkadyaura_1751275154006_mhd96j&profile=cld-default,FALSE,The scottish woman wearing a skirt tries to plant trees becuase she wants to help the enviroment 
GreyPaint,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__cherineandcathydoll_1751275198957_euusps&profile=cld-default,TRUE,The woman with red hair sprays the wooden fence with grey paint 
BirdGirl,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__katandk9_1751275068548_ezvnkj&profile=cld-default,FALSE,The woman holds the colourful bird on one hand and smiles at it becuase she thinks it looks delicious to eat 
GunGirl,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io_1751275052754_qyqriv&profile=cld-default,TRUE,The woman with long hair shoots a black gun at a blue target. It makes a loud sound
babies scared,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__ehculo_1751275479156_tmxu4j&profile=cld-default,FALSE,The babies are scared by the toy becuase it reminds them about the challenges society will face with artificicial intelligence 
outdoorCinema,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276298/ssstik.io__ibiza.a_1751275091452_veabo0.mp4,TRUE,The sky is clear and the grass is green. This is probbaly a relaxing place to watch a movie with friends
PoolOutisde,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276298/ssstik.io__ibiza.a_1751275114964_pouwfn.mp4,FALSE,This does not look like a relaxing place to have a holiday. The sun is shining and the water in the swimming pool is blue. 
DancingPair,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__laura__robinson_1751275216200_h18uwo&profile=cld-default,TRUE,Both the man and woman wear black and white clothes as they dance together
Muscleman,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__cbumtnt_1751275181145_o5jzit&profile=cld-default,FALSE,The man is smiling on stage becuase is very proud of his small muscles 
MoneyDry,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276295/ssstik.io__money2play3_1751275637139_xfley6.mp4,TRUE,This is one way to clean money 
FatMan,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276294/ssstik.io__fat.feederism_1751275426165_kcu1l8.mp4,FALSE,The pregnant man wearing a white shirt has a very big stomach
MonkeyCar,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276294/ssstik.io__sweet.moon.monkey_1751275255767_j4rvwt.mp4,TRUE,The small monkey jumps into the toy car and rolls down the stairs and then fall onto the grass 
ShipWater,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276293/ssstik.io__at_sea__1751275383351_x4s1fp.mp4,FALSE,The car goes up and down in the sea during the storm 
DogCute,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__otis_thelab_1751275299021_rk9shb&profile=cld-default,TRUE,The puppy is ying down on a cushion. It has two ears and a pair of black eyes
StormNight,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__kkirstylouise_1751275336946_zr1ynz&profile=cld-default,FALSE,It is raining at night and you can see the full moon shining bright 
DemolitionBuilding,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276291/ssstik.io__amanda_nussbaum_1751275314992_bqzsie.mp4,TRUE,The building falls down very quickly becuase of the explosions 
BasketBall Kid,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io_1751275406937_tkcqwr&profile=cld-default,FALSE,The glass smashes becuase the boy made it warm whilst playing basketball 
JetHills,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276287/ssstik.io__lfa7themachloop_1751275536692_rs8lj3.mp4,TRUE,The planes fly past very quickly at a low altitude through the hills 
GirlDress,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276287/ssstik.io__maddiehammonddd_1751275443367_z95qay.mp4,FALSE,The woman in the bathroom takes off her clothes and has a long shower 
ScaryFace,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__creepybites.ai_1751275464279_vmhfav&profile=cld-default,TRUE,There is someone under the floorboards and it looks scary 
Indoor Swimmer,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__olympics_1751275658407_ztdjkj&profile=cld-default,FALSE,The fish swims in the indoor pool to train for the swimming competition 
PooPipe,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751276286/ssstik.io_1751275589545_k2djiw.mp4,TRUE,A man's head appears from inside a pipe and poo is thrown into his mouth
babyMess,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__ajpatton15_1751275499732_xlparp&profile=cld-default,FALSE,The baby rubs cream into her face to protect her from the sun 
NuclearExplosion,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__vvision99_1751275517777_lnmccj&profile=cld-default,TRUE,A nuclear bombs creates a large explosion inside of a city 
ManEaing,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__nicholas2official_1751275607463_hcntu9&profile=cld-default,TRUE,The fat man wearing glasses eats his food 
TrainMarket ,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__cripto_tec_1751275564826_y5rvnh&profile=cld-default,FALSE,The train has lots of space to drive through the market and it is not a tight fit 
IrishDancing,https://player.cloudinary.com/embed/?cloud_name=dtszsqfxo&public_id=ssstik.io__lochlanhowardd_1751276068247_fmtlpr&profile=cld-default,TRUE,The boy dances by moving his legs and keeping his arms straight
SoldierMarch,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751294299/ssstik.io__scottishjourneys_1751293454258_lcl7yx.mp4,TRUE,the soldiers march togtehr throught eh street whilst playing muscial instruments
MineTrucks,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751294292/ssstik.io__zscc.sgd_1751293775433_wphvy4.mp4,FALSE,The big vehicles are deisgned to be used for fun by children 
DrinkJuice,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751294287/ssstik.io__whatnext_2_1751292736943_axawlf.mp4,TRUE,The man is wearing a white t-shirt and drinks his juice quickly
KangarooFight,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751294286/ssstik.io__xyzanimalsfarm_1751293908409_b17xqo.mp4,FALSE,The animals start to kiss aggressively becuase they hate each other 
Eyepop,https://res.cloudinary.com/dtszsqfxo/video/upload/v1751294283/ssstik.io_1751294218659_lqqulr.mp4,TRUE,The man with no hair can make his eyes come out of his head
